,id,name,preview_url,artist,duration,popularity,release_date,valence,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo
4137,2Ztm74ziBMGTsS8Pgy2MFc,Be More Chill - Pt. 2,https://p.scdn.co/mp3-preview/fc94aecd2da30d205687d327325b52e6e3410189?cid=02b0e243b26741fa8d571a7f61aa4518,5Pjk0CjONGk3zq9SnKKx3r,133880.0,38.0,2015-10-30,0.524,0.502,0.438,4,-6.534,1,0.0573,0.666,0.0,0.33,105.114
4138,7kEo58CLIsQek9zKHokHEI,More Than Survive - Reprise,https://p.scdn.co/mp3-preview/179a2ebc1f7a255319f69d7993e728cdbd8a41d4?cid=02b0e243b26741fa8d571a7f61aa4518,5Pjk0CjONGk3zq9SnKKx3r,81533.0,37.0,2015-10-30,0.895,0.668,0.571,9,-7.857,1,0.438,0.529,0.0,0.16,156.237
4139,3JMuqa4x9ZMWxgA8RaAiya,A Guy That I'd Kinda Be Into,https://p.scdn.co/mp3-preview/6793edabba0cb7833d8067e2bfec5c48427f90ec?cid=02b0e243b26741fa8d571a7f61aa4518,5Pjk0CjONGk3zq9SnKKx3r,164400.0,53.0,2015-10-30,0.493,0.497,0.474,3,-7.279,1,0.044,0.764,0.000223,0.453,133.934
4140,19gda6lhC6AQulS2RgO6pi,Upgrade,https://p.scdn.co/mp3-preview/fe33965ad297d48c00a6cb5347360cb0c6d258bd?cid=02b0e243b26741fa8d571a7f61aa4518,5Pjk0CjONGk3zq9SnKKx3r,278613.0,40.0,2015-10-30,0.307,0.493,0.408,3,-6.627,1,0.107,0.832,0.0,0.238,79.596
4141,7rm4ElqXy5iNlfPXkucKFm,Halloween,https://p.scdn.co/mp3-preview/5fa9cdd451fa9e5d776ac43f8f729503e0d3c0ca?cid=02b0e243b26741fa8d571a7f61aa4518,5Pjk0CjONGk3zq9SnKKx3r,206546.0,37.0,2015-10-30,0.522,0.392,0.755,10,-4.753,1,0.054,0.438,0.0,0.2,155.825
4142,1L3wn1FJHmnv9OpjVbkMzY,Michael in the Bathroom,https://p.scdn.co/mp3-preview/712d8cd74e608ceb1ca6769057f5dc50e4606ef4?cid=02b0e243b26741fa8d571a7f61aa4518,5Pjk0CjONGk3zq9SnKKx3r,297573.0,59.0,2015-10-30,0.425,0.574,0.372,4,-7.75,1,0.0616,0.82,0.0,0.115,118.545
4143,4kGanLK31axEPDEp7QbXbc,The Smartphone Hour (Rich Set a Fire),https://p.scdn.co/mp3-preview/990098f4807bd3b152d71483958e3d7bf1c6f4b3?cid=02b0e243b26741fa8d571a7f61aa4518,5Pjk0CjONGk3zq9SnKKx3r,338986.0,44.0,2015-10-30,0.729,0.51,0.743,10,-5.876,1,0.414,0.62,0.0,0.562,172.92
4144,1Ra42r4MNdTlFpYZHlrcgq,The Pitiful Children,https://p.scdn.co/mp3-preview/1e6f86f2fb52b47fcb8520c531182a1c9b174d2f?cid=02b0e243b26741fa8d571a7f61aa4518,5Pjk0CjONGk3zq9SnKKx3r,229960.0,44.0,2015-10-30,0.507,0.452,0.708,8,-4.723,1,0.0508,0.451,0.0,0.075,103.965
4145,33FWHJKlTQLNOBuU9tykry,The Play,https://p.scdn.co/mp3-preview/06d23a114f470656784b5e06bcbe6cc4e0aeea7d?cid=02b0e243b26741fa8d571a7f61aa4518,5Pjk0CjONGk3zq9SnKKx3r,379346.0,36.0,2015-10-30,0.382,0.46,0.554,9,-6.549,1,0.175,0.361,0.0,0.179,153.911
4146,6bBTOkYn0vJJ33kH0IbZ0S,キヅアト,,0aRqEPPTtQd3pGuB4tJxVw,243745.0,0.0,2019-07-12,0.691,0.398,0.936,1,-1.717,0,0.0943,0.0172,0.0,0.305,177.824
4147,3VrKkcEm7RYXBI9RLv7SL7,冬のはなし,https://p.scdn.co/mp3-preview/79f4a2c08949af002e2cd955a4b854a5483c76cc?cid=02b0e243b26741fa8d571a7f61aa4518,6LQYtKNp3ZsJ9xOzVVUj5j,208906.0,67.0,2020-08-26,0.383,0.447,0.973,5,-1.447,1,0.0728,0.000851,0.0,0.307,134.914
4148,7Hqig8kp32q2Ire3ECQvWM,Paparazzi,https://p.scdn.co/mp3-preview/7f560db618d884d8abe4eab849fcd5e778892f9a?cid=02b0e243b26741fa8d571a7f61aa4518,1HY2Jd0NmPuamShAr6KMms,208306.0,71.0,2008-01-01,0.397,0.762,0.692,5,-3.973,0,0.0438,0.113,0.0,0.094,114.906
4149,4lwavw59UjXUPJZtKNdFYp,Alejandro,https://p.scdn.co/mp3-preview/0d2e9ab4a292d5d74bb081795e256848d3299467?cid=02b0e243b26741fa8d571a7f61aa4518,1HY2Jd0NmPuamShAr6KMms,274213.0,68.0,2009-08-05,0.369,0.626,0.799,11,-6.612,0,0.046,0.000358,0.00155,0.36,98.992
